"year","ssp126_global_cm","ssp245_global_cm","ssp585_global_cm","subsidence_component_cm","ssp126_relative_cm","ssp245_relative_cm","ssp585_relative_cm","ssp126_lo80","ssp126_hi80","ssp126_lo95","ssp126_hi95","ssp245_lo80","ssp245_hi80","ssp245_lo95","ssp245_hi95","ssp585_lo80","ssp585_hi80","ssp585_lo95","ssp585_hi95"
2050,17.5,24,34,29.0416666666667,46.5416666666667,53.0416666666667,63.0416666666667,45.3003173870032,47.7830159463301,44.6431867726164,48.440146560717,51.8003173870032,54.2830159463301,51.1431867726164,54.940146560717,61.8003173870032,64.2830159463301,61.1431867726164,64.940146560717
2051,17.8,24.56,34.96,30.2033333333333,48.0033333333333,54.7633333333333,65.1633333333333,46.7383371806899,49.2683294859767,46.0686886678967,49.9379779987699,53.49833718069,56.0283294859767,52.8286886678967,56.6979779987699,63.8983371806899,66.4283294859767,63.2286886678967,67.0979779987699
2052,18.1,25.12,35.92,31.365,49.465,56.485,67.285,48.1767909725964,50.7532090274036,47.4948543061765,51.4351456938235,55.1967909725964,57.7732090274036,54.5148543061765,58.4551456938235,65.9967909725964,68.5732090274036,65.3148543061765,69.2551456938235
2053,18.4,25.68,36.88,32.5266666666667,50.9266666666667,58.2066666666667,69.4066666666667,49.6156557092885,52.2376776240449,48.9216484302707,52.9316849030626,56.8956557092885,59.5176776240449,56.2016484302707,60.2116849030626,68.0956557092885,70.7176776240449,67.4016484302708,71.4116849030626
2054,18.7,26.24,37.84,33.6883333333333,52.3883333333333,59.9283333333333,71.5283333333333,51.0549103087656,53.721756357901,50.349038798042,54.4276278686247,58.5949103087656,61.261756357901,57.889038798042,61.9676278686247,70.1949103087656,72.861756357901,69.489038798042,73.5676278686247
2055,19,26.8,38.8,34.85,53.85,61.65,73.65,52.4945354322119,55.2054645677881,51.7769958333235,55.9230041666765,60.2945354322119,63.0054645677881,59.5769958333235,63.7230041666765,72.2945354322119,75.0054645677881,71.5769958333235,75.7230041666765
2056,19.3,27.36,39.76,36.0116666666667,55.3116666666667,63.3716666666667,75.7716666666667,53.9345132886399,56.6888200446934,53.205492327148,57.4178410061854,61.9945132886399,64.7488200446934,61.2654923271479,65.4778410061854,74.3945132886399,77.1488200446934,73.6654923271479,77.8778410061854
2057,19.6,27.92,40.72,37.1733333333333,56.7733333333333,65.0933333333333,77.8933333333333,55.3748274668129,58.1718391998537,54.6345031806947,58.9121634859719,63.6948274668129,66.4918391998538,62.9545031806947,67.2321634859719,76.4948274668129,79.2918391998538,75.7545031806947,80.0321634859719
2058,19.9,28.48,41.68,38.335,58.235,66.815,80.015,56.8154627899299,59.6545372100701,56.0640051830497,60.4059948169503,65.3954627899299,68.2345372100701,64.6440051830497,68.9859948169503,78.5954627899299,81.4345372100701,77.8440051830497,82.1859948169503
2059,20.2,29.04,42.64,39.4966666666667,59.6966666666667,68.5366666666667,82.1366666666667,58.256405189415,61.1369281439183,57.4939768181828,61.8993565151506,67.096405189415,69.9769281439183,66.3339768181828,70.7393565151506,80.696405189415,83.5769281439183,79.9339768181828,84.3393565151506
2060,20.5,29.6,43.6,40.6583333333333,61.1583333333333,70.2583333333333,84.2583333333333,59.6976415948283,62.6190250718383,58.9243980965812,63.3922685700855,68.7976415948283,71.7190250718383,68.0243980965812,72.4922685700855,82.7976415948283,85.7190250718383,82.0243980965812,86.4922685700855
2061,20.8,30.16,44.56,41.82,62.62,71.98,86.38,61.1391598374509,64.1008401625491,60.3552504077952,64.8847495922048,70.4991598374509,73.4608401625491,69.7152504077952,74.2447495922048,84.8991598374509,87.8608401625491,84.1152504077952,88.6447495922048
